batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
11b37b2a,JL Tutty,M Mooketsi,74.2,Abdur Razzak,71.5,V Baskaran,70.2
11b785d6,J Thomas,N Nuntarach,80.9,AN Toube,78.8,D Jakiel,74.2
11c35bf1,O Sam Arthur,Dylan Steyn,81.7,Faheem Nazir,81.0,K Bhurtel,78.8
11cebda3,Shafiq Jan,P Suanchuai,78.5,S Yeshi,78.5,B Muzarabani,78.3
11df3dc8,MJ Lumb,Shubman Gill,93.3,Jatinder Singh,92.0,Zeeshan Khan,91.3
11f56b14,HV Mandhyan,HA Jackson,76.9,Mohamed Azzam,73.3,MB Tambe,73.1
1200550f,MJ Prior,MH Cross,87.6,SPD Smith,86.6,LRPL Taylor,84.0
1236044e,LR Naylor,N Senamontree,70.2,Mehran Khan,66.9,AU Rashid,66.0
123ab754,Syed Faizan Tahir,FJ Klaassen,80.4,V Baskaran,76.7,CA Soper,73.7
123e663a,S Dhaniram,B Kumar,83.5,CA Young,80.6,Abdul Majid Abbasi,77.9
1252f71a,MRJ Watt,AJ Hosein,84.9,Muslim Yar,81.0,Ali Naseer,76.4
125853c3,T Kahamker,SP Narine,80.9,HA Chohan,74.7,Taskin Ahmed,72.4
125bba96,J Perman,Sarfaraz Ali,84.6,Lokesh Bam,82.6,Aslam Khan,81.7
12678cc7,T Cross,CA Soper,75.7,K Piet,75.4,Bilal Khan,72.7
126c3f6f,Ashish Rana,Ibrahim Rizan,82.9,G Bakiweyem,72.0,AG Cremer,71.8
126f1e28,R Nath,G Burrows,78.0,Haider Butt,75.7,Lakshit Gupta,73.0
1274d7ab,Nazmul Hossain Shanto,HT Tector,92.3,Nizakat Khan,92.3,JH Kallis,91.5
1283e17b,Imal Zuwak,BN Cooper,92.2,Zeeshan Khan,91.7,Sahibzada Farhan,91.2
1294ee6d,Muhammad Arfan,GD Elliott,78.8,AR Patel,77.7,DL Vettori,77.1
12b610c2,TM Head,FH Allen,95.7,Abhishek Sharma,94.8,Asif Ali,93.0
12bba2d4,U Dorji,T Tshose,80.3,AG Cremer,80.1,D Wheatley,78.9
12bffe91,LL Tsotsobe,Abdur Razzak,95.4,Bilal Khan,89.0,B Muzarabani,86.3
