id_a,name_a,id_b,name_b,team,innings_a,innings_b,reason
22d73540,Jahandad Khan,33cb3411,Younis Khan,Pakistan,5,21,same_surname_same_team_no_match_overlap
22d73540,Jahandad Khan,ee8f1a6d,Azam Khan,Pakistan,5,11,same_surname_same_team_no_match_overlap
33cb3411,Younis Khan,9de62878,Shadab Khan,Pakistan,21,60,same_surname_same_team_no_match_overlap
33cb3411,Younis Khan,bafb9238,Usman Khan,Pakistan,21,32,same_surname_same_team_no_match_overlap
33cb3411,Younis Khan,ee8f1a6d,Azam Khan,Pakistan,21,11,same_surname_same_team_no_match_overlap
33cb3411,Younis Khan,ee95065d,Irfan Khan,Pakistan,21,11,same_surname_same_team_no_match_overlap
ee8f1a6d,Azam Khan,ee95065d,Irfan Khan,Pakistan,11,11,same_surname_same_team_no_match_overlap
67e36e53,Jassim Khan,922e3dcc,Kamran Khan,Qatar,7,18,same_surname_same_team_no_match_overlap
074acfb4,Asif Khan,fdee4a01,Shoaib Khan,United Arab Emirates,50,5,same_surname_same_team_no_match_overlap
730d2283,Saghir Khan,d2d15439,Aayan Afzal Khan,United Arab Emirates,5,14,same_surname_same_team_no_match_overlap
730d2283,Saghir Khan,f0e293b0,Zahoor Khan,United Arab Emirates,5,8,same_surname_same_team_no_match_overlap
730d2283,Saghir Khan,fdee4a01,Shoaib Khan,United Arab Emirates,5,5,same_surname_same_team_no_match_overlap
f0e293b0,Zahoor Khan,fdee4a01,Shoaib Khan,United Arab Emirates,8,5,same_surname_same_team_no_match_overlap
41d333e3,Ibrahim Kpaka,c381cec5,M Kpaka,Sierra Leone,8,14,same_surname_same_team_no_match_overlap
2feb5b8d,Akhil Kumar,b3bad3f2,NR Kumar,Canada,6,15,same_surname_same_team_no_match_overlap
56e771ef,Rizwan Mahmood,926c6d3c,Abdullah Mahmood,Denmark,11,7,same_surname_same_team_no_match_overlap
2182013e,SW Masakadza,4bc0a378,WP Masakadza,Zimbabwe,5,37,same_surname_same_team_no_match_overlap
08548b13,PHKD Mendis,9868bc75,BMAJ Mendis,Sri Lanka,36,15,same_surname_same_team_no_match_overlap
08548b13,PHKD Mendis,ea0cdc12,BAW Mendis,Sri Lanka,36,6,same_surname_same_team_no_match_overlap
5d1e7582,BKG Mendis,ea0cdc12,BAW Mendis,Sri Lanka,99,6,same_surname_same_team_no_match_overlap
2dcac6ff,E Niyomugabo,72bf5103,I Niyomugabo,Rwanda,35,24,same_surname_same_team_no_match_overlap
64839cb3,M Pathirana,753c95b9,SS Pathirana,Sri Lanka,9,5,same_surname_same_team_no_match_overlap
11614d87,D Pretorius,60aa2db3,LG Pretorius,South Africa,17,13,same_surname_same_team_no_match_overlap
02789d88,Shamsur Rahman,0a8fce53,Mustafizur Rahman,Bangladesh,8,32,same_surname_same_team_no_match_overlap
0a8fce53,Mustafizur Rahman,c27518d2,Ziaur Rahman,Bangladesh,32,9,same_surname_same_team_no_match_overlap
28adcce9,Anwar Rahman,6d5bdc43,Nazril Rahman,Malaysia,8,6,same_surname_same_team_no_match_overlap
2064e555,Lucas Rossi,56544f81,S Rossi,Argentina,11,5,same_surname_same_team_no_match_overlap
740742ef,RG Sharma,800d2d97,JM Sharma,India,144,9,same_surname_same_team_no_match_overlap
