bowler_id,bowler,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
350bb1b1,AF Milne,Navdeep Saini,79.0,UT Yadav,78.6,Mohsin Khan,76.5
35205dfc,DR Smith,DJG Sammy,89.2,SC Ganguly,89.0,V Sehwag,88.1
36619795,Zeeshan Ansari,KV Sharma,63.0,S Gopal,61.9,PWH de Silva,57.1
378daa89,Aman Hakim Khan,Shahbaz Ahmed,70.3,DJ Hooda,57.1,LS Livingstone,51.9
38f2c66c,VS Yeligati,DJ Hooda,68.3,S Dube,64.1,C de Grandhomme,59.4
39a2dfa8,R Tewatia,AM Nayar,85.9,Mohammad Nabi,82.0,SK Raina,80.6
39f01cdb,KP Pietersen,Bipul Sharma,92.1,R Bhatia,91.8,A Mishra,89.2
39f82db3,DJ Harris,TM Dilshan,65.8,C de Grandhomme,64.4,LS Livingstone,61.8
3a60e0b5,WD Parnell,A Nehra,94.9,TA Boult,94.2,MJ McClenaghan,93.7
3ae3f034,AUK Pathan,DJ Hooda,65.5,C de Grandhomme,60.1,TM Dilshan,58.4
3b53243a,XC Bartlett,IC Pandey,70.4,AS Joseph,61.8,UT Yadav,61.2
3c6ffae8,YK Pathan,JP Duminy,97.6,STR Binny,94.8,CH Gayle,89.4
3d7e087f,SK Trivedi,RE van der Merwe,93.9,PV Tambe,93.5,SK Warne,93.2
3d8feaf8,MR Marsh,CR Brathwaite,72.8,SN Thakur,72.5,M Pathirana,64.6
3dba85c2,WA Mota,ST Jayasuriya,78.2,KA Pollard,73.9,AM Nayar,69.5
3eac9d95,JDP Oram,AD Russell,61.9,CJ Anderson,59.0,R Shepherd,58.5
3edb58fc,AD Mascarenhas,A Singh,91.5,R Vinay Kumar,90.5,A Nehra,89.8
3fb19989,MA Starc,Umran Malik,89.0,Harshit Rana,85.0,TG Southee,83.8
402f8494,RJ Gleeson,MS Gony,83.4,R McLaren,82.5,AS Joseph,68.7
4125d931,J Suchith,PJ Sangwan,92.8,Z Khan,91.4,L Balaji,91.1
4180d897,JE Taylor,R Vinay Kumar,81.7,JP Behrendorff,79.6,MG Johnson,79.0
41eb4a4f,R Vinay Kumar,S Aravind,92.4,P Awana,92.3,A Singh,92.0
4329fbb5,SR Watson,DP Nannes,95.8,AB Dinda,94.0,DW Steyn,93.0
4353bba5,YA Abdulla,MA Starc,95.6,I Sharma,86.6,Umran Malik,86.2
441c72ae,P Ray Barman,Shahbaz Ahmed,71.0,DJ Hooda,61.8,S Dube,59.3
44aac2f0,Arjun Tendulkar,SW Tait,75.5,DW Steyn,68.9,DP Nannes,65.1
45c2196c,DE Bollinger,A Nehra,96.8,RJ Harris,95.8,MM Patel,94.6
462411b3,JJ Bumrah,CV Varun,95.9,Z Khan,91.5,SL Malinga,91.4
465aa633,N Burger,BW Hilfenhaus,93.3,Mohammed Shami,91.6,KW Richardson,90.0
469ea22b,KMDN Kulasekara,J Suchith,92.6,PJ Sangwan,83.1,AC Thomas,82.8
46a9bea1,TU Deshpande,VG Arora,92.8,Mukesh Kumar,91.7,Yash Thakur,87.8
4885bbe6,Yudhvir Singh,Mukesh Choudhary,85.7,Navdeep Saini,79.8,Basil Thampi,76.9
4933f499,JP Behrendorff,M Prasidh Krishna,95.7,Arshdeep Singh,94.3,JR Hazlewood,93.1
495d42a5,R Ashwin,S Nadeem,87.6,SP Narine,86.9,M Theekshana,86.9
4b31f3a3,Yash Thakur,TU Deshpande,87.8,Mukesh Kumar,85.9,VG Arora,81.1
4b4d1957,PM Sarvesh Kumar,C Green,73.4,R Tewatia,60.6,K Gowtham,57.1
4b57e452,M Vijay,TM Dilshan,66.0,DJ Hooda,62.5,C de Grandhomme,62.1
4ba44e19,M Muralitharan,A Kumble,96.8,DL Vettori,96.0,SP Narine,95.7
4bd09374,Akash Madhwal,Anureet Singh,85.1,JP Faulkner,81.9,Naveen-ul-Haq,80.0
