bowler_id,bowler,country,matches,total_overs,total_wickets,career_economy,career_sr_bowl,phase_group,score_accuracy,score_control,score_threat,overall_score,overall_grade,grade_accuracy,grade_control,grade_threat,archetype,avg_wicket_quality_mean,bowled_lbw_pct,peak_composite_bowling,peak_window_composite,flat_track_index_bowl,war_bowling,war_bowling_rate,clutch_index_bowl,pressure_spells,avg_dominance_bowl,pct_dominant_bowl,bowl_first_index,bowl_second_index,condition_dependence_index_bowl,condition_dependence_tag_bowl,condition_spread_bowl,is_provisional_bowl
80b2fb19,Prince Yadav,Lucknow Super Giants,6,22.83,5,9.9,27.4,middle_heavy,34.3,39.3,40.1,37.9,C+,C+,C+,C+,Utility Player,0.71,0.6,,,,0.53,,,0,0.32,0.33,,,,,,True
4933f499,JP Behrendorff,Mumbai Indians,17,61.0,22,9.23,16.64,pp_heavy,34.3,46.6,61.1,47.3,B,C+,B,B+,Utility Player,0.89,0.09,0.44,0.03,0.03,0.97,0.06,,2,-0.3,0.58,0.22,-0.22,0.04,Conditions-Proof,-0.07,False
e03b66ec,Mohammad Asif,Delhi Daredevils,8,32.0,9,9.59,21.33,pp_heavy,34.3,26.2,21.5,27.3,C,C+,C,C,Utility Player,0.84,0.22,,,0.42,0.36,,,0,0.32,0.38,,,,,,False
b483905d,Akash Singh,Chennai Super Kings,10,34.17,9,9.54,22.78,pp_heavy,34.2,57.4,45.9,45.8,B,C+,B,B,Utility Player,0.98,0.33,0.47,0.05,-0.02,0.89,0.09,,0,0.25,0.4,-0.17,0.17,0.05,Conditions-Proof,-0.43,False
fdcb08c2,A Uniyal,Rajasthan Royals,2,6.0,3,11.17,12.0,death_heavy,34.2,31.6,40.4,35.4,C+,C+,C+,C+,Utility Player,0.57,0.33,,,,0.52,,,1,1.62,0.0,,,,,,True
9ab63e7b,Mohammad Hafeez,Kolkata Knight Riders,4,10.0,2,7.1,30.0,middle_heavy,34.2,31.3,26.1,30.5,C+,C+,C+,C,Utility Player,0.55,0.5,,,,0.25,,,1,-0.58,0.75,,,,,,True
85ec8e33,SS Iyer,Kolkata Knight Riders,1,1.0,0,7.0,999.0,death_heavy,34.0,41.2,29.9,35.0,C+,C+,C+,C,Utility Player,0.0,0.0,,,,0.37,,,1,,,,,,,,True
fe763256,Y Venugopal Rao,Deccan Chargers,20,36.0,7,9.39,30.86,middle_heavy,34.0,33.1,11.2,26.1,C,C+,C+,D,Utility Player,0.31,0.29,-0.44,-0.15,-0.09,0.41,0.02,,0,-0.06,0.56,0.32,-0.32,0.14,Conditions-Proof,0.16,False
caa89a48,SS Sarkar,Kolkata Knight Riders,2,4.17,1,8.16,25.0,middle_heavy,33.6,19.8,22.2,25.2,C,C+,C,C,Utility Player,0.4,1.0,,,,0.07,,,1,-1.11,1.0,,,,,,True
03a83c50,V Viyaskanth,Sunrisers Hyderabad,3,10.0,1,9.0,60.0,middle_heavy,33.5,49.7,11.9,31.7,C+,C+,B,D,Utility Player,0.5,0.0,,,,0.36,,,0,-0.54,0.75,,,,,,True
d4d929b0,V Kaverappa,Punjab Kings,1,4.0,2,9.0,12.0,pp_heavy,33.3,39.2,46.8,39.8,C+,C+,C+,B,Utility Player,1.45,0.0,,,,0.56,,,0,0.02,0.0,,,,,,True
b720a5d6,DB Ravi Teja,Deccan Chargers,2,3.0,1,9.33,18.0,middle_heavy,33.0,39.3,31.3,34.5,C+,C+,C+,C+,Utility Player,0.7,0.0,,,,0.3,,,0,-0.01,1.0,,,,,,True
249d60c9,AU Rashid,Sunrisers Hyderabad,3,10.0,2,9.1,30.0,middle_heavy,32.6,43.4,53.2,43.1,C+,C+,C+,B,Utility Player,0.42,1.0,,,,0.67,,,1,-0.32,0.67,,,,,,True
9caf69a1,WG Jacks,Mumbai Indians,13,23.0,8,9.61,17.25,middle_heavy,32.6,32.7,56.5,40.6,C+,C+,C+,B,Utility Player,0.63,0.12,-0.14,0.28,0.14,0.71,0.05,,0,-0.45,0.71,,,0.6,Tough-Track Enforcer,1.12,True
ed5a5510,P Dubey,Delhi Capitals,5,13.0,2,8.62,39.0,middle_heavy,32.3,50.6,29.9,37.6,C+,C+,B,C,Utility Player,0.46,0.0,,,,0.5,,,1,0.1,0.43,,,,,,True
0bf15e52,Harmeet Singh,Rajasthan Royals,1,4.0,1,8.5,24.0,pp_heavy,32.2,31.7,30.2,31.4,C+,C+,C+,C+,Utility Player,1.4,0.0,,,,0.14,,,0,-0.41,0.33,,,,,,True
f6d8a7ab,K Kartikeya,Mumbai Indians,16,47.0,12,8.77,23.5,middle_heavy,31.7,62.5,55.1,49.8,B,C+,B+,B,Utility Player,0.69,0.5,0.47,0.32,0.07,0.96,0.06,,0,-0.03,0.48,0.3,-0.3,0.47,Tough-Track Enforcer,0.28,False
c28e9f12,Tejas Baroka,Gujarat Lions,1,3.5,0,9.43,999.0,middle_heavy,31.0,31.9,22.9,28.6,C,C+,C+,C,Utility Player,0.0,0.0,,,,0.06,,,1,0.12,0.5,,,,,,True
b2b23612,RG More,Chennai Super Kings,2,5.83,1,10.8,35.0,middle_heavy,30.9,23.2,11.3,21.8,C,C+,C,D,Utility Player,0.6,0.0,,,,0.03,,,1,0.29,0.0,,,,,,True
fb5f69e4,M Tiwari,Delhi Capitals,1,1.0,0,14.0,999.0,middle_heavy,30.9,27.8,14.2,24.3,C,C+,C,D,Utility Player,0.0,0.0,,,,0.01,,,0,,,,,,,,True
402f8494,RJ Gleeson,Chennai Super Kings,3,11.33,2,9.79,34.0,middle_heavy,30.5,26.9,29.5,29.0,C,C+,C,C,Utility Player,1.0,0.5,,,,0.18,,,0,-0.56,0.67,,,,,,True
1647bd37,Karanveer Singh,Kings XI Punjab,9,34.0,14,9.5,14.57,middle_heavy,30.4,19.2,66.0,38.5,C+,C+,C,B+,Utility Player,0.93,0.07,,,-0.34,0.68,,,0,-0.56,0.61,,,,,,False
0164b064,MG Neser,Kings XI Punjab,1,4.0,0,15.5,999.0,death_heavy,30.1,28.0,26.2,28.1,C,C+,C,C,Utility Player,0.0,0.0,,,,0.06,,,0,2.11,0.0,,,,,,True
0604ef16,SB Bangar,Deccan Chargers,9,25.0,6,8.84,25.0,middle_heavy,30.1,29.9,29.9,30.0,C+,C+,C,C,Utility Player,0.59,0.17,,,-0.51,0.37,,,1,-0.32,0.75,,,,,,True
e0351c86,DNT Zoysa,Deccan Chargers,3,11.0,2,9.09,33.0,pp_heavy,30.0,35.5,8.6,24.7,C,C+,C+,D,Utility Player,0.73,0.0,,,,0.2,,,0,-0.12,0.8,,,,,,True
5f4e9e8f,RR Raje,Mumbai Indians,10,23.17,7,9.24,19.86,middle_heavy,29.9,15.3,38.8,28.0,C,C,C,C+,Utility Player,0.46,0.29,-0.96,-0.7,-0.22,0.36,0.04,,1,-0.46,0.55,0.37,-0.37,0.24,Tough-Track Enforcer,0.24,True
b69e69ed,AA Noffke,Royal Challengers Bangalore,1,4.0,1,10.25,24.0,middle_heavy,29.8,22.4,29.1,27.1,C,C,C,C,Utility Player,1.2,0.0,,,,0.03,,,0,0.95,0.0,,,,,,True
e38bce7a,MG Bracewell,Royal Challengers Bangalore,5,11.0,6,8.64,11.0,middle_heavy,29.8,38.8,66.1,44.9,C+,C,C+,B+,Utility Player,0.97,0.0,,,,0.8,,,0,0.31,0.5,,,,,,True
0d232ffd,MA Khote,Mumbai Indians,2,5.0,2,10.4,15.0,middle_heavy,29.5,30.2,34.9,31.5,C+,C,C+,C+,Utility Player,0.57,0.0,,,,0.21,,,0,-0.51,0.5,,,,,,True
fb24e76c,Monu Kumar,Chennai Super Kings,1,2.0,0,10.0,999.0,pp_heavy,29.3,18.4,13.7,20.5,C,C,C,D,Utility Player,0.0,0.0,,,,0.0,,,0,,,,,,,,True
c3c92b42,RS Hangargekar,Chennai Super Kings,2,6.0,3,10.0,12.0,middle_heavy,29.1,22.2,47.1,32.8,C+,C,C,B,Utility Player,0.67,0.0,,,,0.34,,,0,-1.09,1.0,,,,,,True
26d041c4,Sikandar Raza,Punjab Kings,7,14.0,3,10.43,28.0,middle_heavy,29.0,28.4,27.3,28.2,C,C,C,C,Utility Player,0.57,0.33,,,0.36,0.29,,,0,0.35,0.25,,,,,,True
64775749,RP Meredith,Mumbai Indians,18,64.67,21,9.6,18.48,middle_heavy,28.7,23.0,53.9,35.2,C+,C,C,B,Utility Player,0.9,0.1,0.02,-0.25,0.14,0.66,0.04,,1,-0.28,0.57,-0.12,0.12,0.03,Conditions-Proof,0.15,False
16605a1b,AA Kazi,Royal Challengers Bangalore,1,2.0,1,10.5,12.0,middle_heavy,28.5,24.5,32.8,28.6,C,C,C,C+,Utility Player,1.2,0.0,,,,0.1,,,0,-0.3,1.0,,,,,,True
